country_code_3,country_name,year,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
BIH,Bosnia and Herzegovina,2014,-0.022573995959149388,0.22204355142549054,1.0150179109469157,-0.36007504392058076,2.018242686286244,-0.5750512247415387,-1.5330519504437772,-0.60586177285525,-1.1790700614187655,0.6361570643786798,-1.3590073860652008,-0.8413410776594341,-0.8568739219349171,0.5712125592596922,0.18574546354257185,0.1609211113359885,0.32100156972488575,-0.08132150473391868,-0.3386580889015326,0.19885320710907264
BLR,Belarus,2014,0.5763654351313574,-0.024077601724717356,-0.37922135795246137,2.0800643359203512,-0.09279756053224272,-0.006879653992202861,-0.789638776363061,0.7444808674587428,-0.7595548141175735,0.15037487636749347,-0.839247148687,-1.1986393615230866,-0.08749014191215906,0.779926543151454,0.9402833369818313,0.4739673430509689,0.7364924966831135,0.11068623865178247,0.8257851777078995,-0.8098544202750406
BLZ,Belize,2014,-0.1038724362318452,0.011680582314252466,0.07626154485721004,-0.3343463976592263,0.3409206665622092,-1.9297100235754885,0.35232644086670994,-0.7420422148465747,-0.3178730860878806,-0.030540860940445645,-0.08845614652722765,-0.06699687358428041,0.38122807122805746,-0.5180529820952633,0.19999601641370113,-0.22503414074611947,0.6690640035949266,0.432044957580571,-1.160025186602092,0.6631042449915335
BOL,Bolivia,2014,-0.2171936398212681,0.6154833106179648,-0.19772651930399832,-0.15729524498428418,-1.324283044008303,0.07367929616613897,0.036655993009436914,0.3606353872023734,-0.07102302681419927,-0.5574587010679283,0.28954642477054415,0.44027006562444526,0.4654171255403207,-0.3487531709044345,0.02924882104309914,-0.3660426678295665,0.19645713379072846,0.3887335691908774,0.2079037242187142,-1.1892655091117939
BRA,Brazil,2014,0.2896052598527433,-0.5633333684553019,0.5252442726217935,0.7606540727597548,0.07940898457068361,1.7726307601870712,-0.3731832279324373,1.1648250653267362,-0.5107839876089634,0.36886451328647496,-0.7537212870654352,-0.06699687358428041,-0.7609408242759504,-0.02419253442357506,-0.36605799137664413,0.3203340371629595,-2.3397503679439824,-0.36908629399296294,-0.5332768068236537,0.6036964342368101
BRN,Brunei,2014,1.5832089828891633,-1.5588883815218428,0.8340383233491533,-1.1013224608946863,0.09981218520283108,-1.8261673906056033,-0.07679766464402478,0.6851568508847931,-0.4813155396658323,0.3734648705206305,-0.5536156103072067,-0.44934616568630453,-0.911607098950596,1.9678652321063281,0.11867543034797134,0.8095515449801074,0.5761890759747631,-1.5039038845120185,2.4702334363615535,-1.9712491669200132
BTN,Bhutan,2014,-0.1425937075981814,0.8715442805877531,0.37358633081199105,0.4495959442657817,-1.0508482046615966,-1.4969200706675436,-0.22195724604414957,-1.114296104994524,0.1787900855831618,-0.14059556092677597,-0.5998548635739399,0.5272925146403675,0.38724135869008475,-0.35554431976402573,-1.7147753861626176,-0.5140438688269519,0.2602647384227076,0.6003152350186977,0.9815428959745306,-1.0465617150923183
BWA,Botswana,2014,0.18587798681080694,0.708372636682497,1.7034859268993174,1.003802843770611,1.451097762027464,-0.8638448614792894,-0.013385446827751033,0.22467934799881945,-0.12123479685602409,-1.1240103881358259,0.34896677698361284,0.9482450308188273,1.220962556302492,0.0815289752080399,0.36866373589148316,-0.29230641775397337,0.8961132987169845,-1.0561063787745897,1.2434474184952877,-0.14089897221535172
CAF,Central African Republic,2014,-2.310898318362472,-0.3357558055115148,-0.0494492958216903,1.3070338717271173,-0.15328246660545303,-0.42351778693779474,-1.0513309947965308,-0.9529566148555847,-0.8403133811122457,-3.707523827686336,2.0278019488294214,2.2141492168872987,1.6660538548736603,-1.4899000659708974,-1.4831973474353424,-1.4636470614596016,-0.7805036677297641,1.6645454287129686,-0.6549355397092348,-1.073738498599319
CAN,Canada,2014,1.2289429719371245,0.04821656501104681,0.6811525553051134,-0.17716452431945484,0.12999493929837724,0.7635998246510223,-0.264867928406633,0.9696475611809798,-0.5479779078516298,1.1900153329868635,-0.9352482320985503,-1.0182354408443373,-0.911607098950596,1.6582183156253085,1.5490963201164585,1.440900273132803,-0.3838958787732068,-1.1493077443036503,0.1936411942920741,0.9046814345901566
CHE,Switzerland,2014,1.526166562806033,-0.10769161535832816,-0.8359229296592671,-0.7365958216083984,-0.3464366636920094,-0.09029692077806982,-0.1434662919589593,0.670502378564053,-0.08119934831196164,1.3567099534665121,-1.0157535283764383,-1.1986393615230866,-0.911607098950596,0.4557163833569442,1.5423893167969984,1.3203849074364857,0.891469260361652,-1.60005260120189,-0.056598726776832455,1.513612308071053
CHL,Chile,2014,0.6072251926531137,-0.2546083037875123,-0.4849050928075063,0.46936283891300784,0.08056051876325399,0.36438973366636723,-0.267424070726808,1.251746733996,-0.49764094284691945,0.9457964936006726,-0.7547886009872157,-0.681539259422723,-0.911607098950596,0.3649848971846339,0.47384174249210737,0.5460023819877469,-0.34405867708187066,-0.44883952173824165,0.3204406412719734,0.23232910125953646
CHN,China,2014,0.010167338546108799,1.4515852003866188,0.010867738068170325,-0.3414756921800701,-0.3973897838600534,2.894807727267621,-0.4708834996467366,-0.2073905437426009,0.30581285164067096,0.5919228602041093,-0.7601309485374392,-0.37024431928843465,-0.911607098950596,0.8454704569835837,-0.3482966271315649,0.09150029255731004,-1.162686272037997,0.25417276412631906,1.2737011883207843,-0.48519688753196916
CIV,Cote d'Ivoire,2014,-0.9112455326482898,1.4418972838497432,-1.3905135209353616,0.2449791793231741,-0.8076792726022014,0.5491627949250193,0.525400362397888,-0.5186489707225214,0.4984269845375234,-1.6424352610617914,1.5645699089677232,1.5062533231016102,1.1937139733521072,-1.1397622890062413,-1.1891902169467454,-1.2124838924894121,-0.7579735349491805,0.8355490877706742,-0.6096587190215431,-1.5653548958056867
CMR,Cameroon,2014,-0.9704729829845306,0.25295720033688185,-0.7332379371337258,-0.16380102617083403,-0.7197511972066384,0.48735877464304034,0.8590402388870635,-0.3669210656615342,0.6616869221492636,-1.4822484630109467,1.451722586864752,1.5459861579573668,1.2641200371260923,-1.1445628037877513,-0.8447383426054467,-0.9986555345128985,-0.8699532109843322,0.9360888358284895,0.02915484027380457,-0.3770916177272408
COD,Democratic Republic of the Congo,2014,-2.020709611165984,0.5816014028668506,-0.06753075203478329,0.024077197718344667,-0.4496006501604673,1.2265298338696589,1.0615427562373592,-0.8912991160010475,0.9538545809723993,-1.5877028057631233,2.1838008162297093,1.5490537842567509,1.6562927636856197,-1.4510829627221498,-0.7176674577149558,-1.4533252889759483,-0.09332251533719144,0.6348943807662251,1.2339164402291463,-1.1944311224557986
COG,Congo,2014,-0.36159851717899455,0.6882742179615728,0.15433198968851353,-2.7627293849741736,1.5409501855082735,-0.3806639421687324,0.5204894025158935,0.1281079218052927,0.17898524790857134,-0.9845841765775805,1.3596018597534019,1.048074497626843,1.4161837906540369,-0.6865850650405808,-0.16496465462335766,-1.3119169787141753,0.6118460902314002,-0.32301128185564265,2.072318386537673,-2.05597379088043
COL,Colombia,2014,0.15583199391969618,0.5376380500916829,-0.2845624012310387,-0.12327557237821635,0.427733905954262,0.9228377296309982,-0.32521939934496014,0.7798610931332541,-0.5691010649833682,0.501803041565785,-0.7039865697382721,-0.08373060609043737,-0.24365180498587496,-0.2936096871242572,-0.18009108115525074,0.2521117432165582,-1.4931377609170113,-0.1626550495215132,0.49402648931041193,0.00407683992832731
COM,Comoros,2014,-1.2336536056068137,-0.5029154658273157,-1.1591940601910726,-0.39416493942045383,-0.5788560434645071,-1.5143810761399812,0.3868781368440054,-1.3964037361279487,0.46460232865032836,-0.8909256216052895,1.2661420334669102,0.9671879728856081,1.0260555266433793,-1.2869376066061378,-1.1274217650123906,-1.316389751462748,-1.4001357213244663,1.5342781042206306,-1.905191625383959,-0.025260589962389973
