country_code_3,country_name,RMSE_Mean,RMSE_Std,Similarity_Mean,Similarity_Std
SGP,Singapore,0.7685639465807077,0.31596661198289244,0.8692143446332573,0.09959437598975232
SLB,Solomon Islands,0.2519665108967798,0.10192463510134926,0.9683064828127472,0.02351991720894303
SLE,Sierra Leone,0.2941510186750955,0.13883340362271163,0.967676313747989,0.026279245215735304
SLV,El Salvador,0.221871997285574,0.17501474905998737,0.8876003817060787,0.14355857519252765
SRB,Serbia,0.26336143287608377,0.11728679976137443,0.9524971980945224,0.027811987191287406
STP,Sao Tome and Principe,0.27711135622947747,0.13123235307760803,0.9836829921961073,0.013432242934969283
SVK,Slovakia,0.17758310510711967,0.041253826689650414,0.9803591882178561,0.00834219778176224
SVN,Slovenia,0.21804043475964124,0.07949281207419945,0.9725663342996524,0.016261140844615617
SWE,Sweden,0.14842278029130884,0.06246496944785648,0.9876714494360634,0.009140871663903918
SWZ,Eswatini,0.1680031132652316,0.06695334059344245,0.979981158287506,0.013902283602447087
SYR,Syria,1.2717837352746426,0.18872181232145546,0.8883961759225021,0.05002527932316997
TCD,Chad,0.2906434418677077,0.10535682926143715,0.9816225872698727,0.01401902825211823
TGO,Togo,0.10499434310090669,0.027166614103094493,0.9920507182708913,0.003622036753558371
THA,Thailand,0.1903222020365025,0.03262664930510785,0.9737455971269989,0.010422990025423594
TJK,Tajikistan,0.218518614638196,0.08012656607302757,0.9615496138117002,0.02590499099810589
TLS,Timor-Leste,1.4406234451465185,0.4302829795182139,0.4712871357614714,0.2652457624545276
TON,Tonga,0.2791334335540672,0.12198765928467248,0.964886128497455,0.025207222113650767
TUN,Tunisia,0.1658135412044904,0.04243696962381412,0.9566736117305251,0.02172360919718393
TUR,Turkey,0.8073394902585337,0.4084382345788126,0.8214786901221217,0.13176020477943073
TZA,Tanzania,0.10610684575654969,0.018241759328814305,0.9958209258972827,0.001384812111139028
UGA,Uganda,0.11488540418191237,0.018032184813020862,0.9947362263471639,0.0017673943623946484
UKR,Ukraine,0.9821465821900522,0.7297743008894678,0.8252748607464789,0.15410111889573752
URY,Uruguay,0.18502655585099367,0.06974783360294043,0.9742798473140136,0.019267686368533307
USA,United States,0.16244232878342904,0.06895316717298602,0.9902942965327411,0.008688729994743351
UZB,Uzbekistan,0.19494926986809644,0.03137914171884279,0.9590007675127247,0.012637207594823407
VNM,Vietnam,0.16139957548402403,0.03717002051283935,0.9845278063048283,0.009311518156575126
ZAF,South Africa,0.15360460747413857,0.032006144598276325,0.9813451486400053,0.006749446766673756
ZMB,Zambia,0.31779586349170974,0.14023675446794626,0.9207229097146067,0.05447107993258905
ZWE,Zimbabwe,5.387316078050508,3.6445030058648746,0.9022544572915661,0.08894504357000253
