"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Unnamed: 70
"Bahamas, The",BHS,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,148.793828892006,150.180201826045,129.075265039896,133.258443795402,129.75113915177,125.337388329215,124.584487534626,121.895056587134,124.061710865761,121.72295247725,117.126017580178,,111.000326583932,110.120025268478,106.118618136001,101.461563203602,103.359961190168,104.401963792574,104.465441819773,105.856747021336,79.7348855718879,77.7261671656993,75.7027383336782,79.6449438925669,72.5008806383396,70.2779817050926,71.063540505226,76.0019833710461,81.3962709176308,87.5507143032777,88.0128155625079,87.4292228766863,76.5210439633098,78.6756024311196,88.3336891598687,84.2515204656543,84.5484138879077,80.5370272284116,69.6779752652565,67.212921580015,68.334284038596,72.1542685971043,68.7866234842208,53.4207580670063,65.9325413308964,75.9829601059237,76.5494751592857,79.2424586933455,,
Bosnia and Herzegovina,BIH,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.847227683838,91.8796126648453,107.500043530726,100.630964756317,125.666609057011,121.820541564193,85.3577431341788,86.0357340130948,78.7274783626,80.5694572639365,81.8126861817184,84.3554628217984,79.8299477752016,83.551858889163,86.1628798430504,73.7474942255023,80.9682159626823,87.8363477136556,88.1451088628529,87.9312380280562,90.5522780395662,88.291992587588,88.2440340022738,96.6458803566861,98.4320694182631,94.516125154246,82.5216467994007,96.7391144408744,110.205283719751,99.6330317954442,94.7601778509961,95.1215717200063,
Belarus,BLR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6073903002309,66.6666666666667,117.391304347826,150.964467005076,155.375709548699,103.718194772782,96.7748997857579,125.516179156558,122.957697735989,120.835117829629,141.609165955024,137.044930473063,131.002058282291,134.141852273225,142.136510387704,118.88435169233,124.295103889386,128.153877979073,129.599478545475,108.63564482836,115.917972989303,157.974255073313,153.085269313372,119.815965235724,110.651424367582,115.914826201946,125.209322899662,133.367754723012,139.393736250171,130.850406102184,118.934176146534,136.014167877476,120.024207576094,131.584674884961,128.242832314614,112.107625821378,
Belize,BLZ,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,78.6998585858586,80.0036701821668,71.8370006035003,69.0500499713904,80.763900981574,67.0732840236686,69.6704858747994,76.8465724872002,81.4921461620596,78.4160346161678,79.393742120487,79.1779659554057,80.3474754942984,75.74810886971,80.8829702605987,77.3367628065445,79.5739076328491,85.4507314878676,85.2837692818555,93.3222988336503,96.6018447146265,93.1624050489864,93.0794584713606,94.3631228859413,86.3853536846826,92.9971266332515,98.8810743235728,95.9555511519831,105.461874277231,89.5808843860925,94.8581591507411,106.914960208874,111.166652365429,108.672614067831,107.112517468788,104.070958799941,96.4998358304218,97.7072571800462,100.989214362975,102.441856907677,81.6431433128545,98.9824369429997,107.840250086037,106.400505850771,108.972446521476,,
Bermuda,BMU,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,74.595080341836,76.2704368073774,73.7823030616219,76.2701066974999,76.5167474588353,73.2954985174785,72.7499093828891,72.3924284503794,77.5552703807388,77.5601016506443,70.5898221728952,72.9270921395872,77.9770526954316,77.6465295570053,80.2060884448408,,
Bolivia,BOL,Trade (% of GDP),NE.TRD.GNFS.ZS,40.1428890377316,39.7372742200328,40.754646142294,43.3228730822873,43.7722419928826,48.1476323119777,47.7358490566038,48.5131974607417,43.8186813186813,43.6707714596161,48.9571263035921,45.7897971727105,45.1315789473684,56.0343463121241,62.0901346785323,58.154952408662,57.5630636398558,56.4190706244871,52.7033855482567,51.5707792927613,46.8132915090015,46.2197671359942,58.4682988072819,52.3557979379802,49.4747308605253,41.8927911934119,47.0313573970904,43.6226566654591,41.9062518616647,45.6546855363276,46.7032725841847,48.444968874686,49.1108578783889,47.4671256895523,48.8608505020702,49.737987097898,49.8562913723023,50.4696628058748,52.2811629581228,44.1682564870165,45.5977750218555,45.2278224315522,49.3502603725957,51.967836443987,57.4642660901316,67.6419413613743,74.537848431547,76.0619114476148,82.8670208961798,68.6270739127592,75.5116262512877,82.4803954243518,84.9487611684942,81.2309075267174,85.2644695625131,67.9328451905248,56.4010345026573,45.5761123650708,46.9261953417368,45.8209732749024,37.5164342446486,47.6670843158984,57.5249335789631,49.6083255594597,46.9778716148403,,
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,12.6154715278744,12.8933967789278,9.38485014285999,17.9399844236981,12.2058053601836,12.8920351041091,12.2632941076674,11.3543843508467,12.5906263621837,13.2759246918131,14.4791733661385,14.6509169793049,16.1319526216382,16.8561891361338,20.9677780688456,18.2343303683349,16.4155479824129,15.1552494051265,14.5778875985257,16.5668826070039,20.1554074919697,19.6329239927092,16.4911703717319,21.9003525232033,23.8300746657723,20.4497665840761,15.8606541452464,16.2623973390749,17.7672447097778,14.3908776472134,15.1555990810218,16.5920777626646,19.2533747878959,19.5993205474635,18.6747597961023,16.9844599991956,15.6355914758682,16.5762092613247,16.4385849312059,20.9821664782285,22.6397613567941,26.936285022064,27.6183574022309,28.1403847231593,29.6782524787535,27.0867952043315,26.04169989179,25.2926113755394,27.257569417356,22.1059756060333,22.772178113177,23.9344051758721,25.1142736107398,25.7859573274674,24.6854058131291,26.95362593736,24.5336820777006,24.3197343743057,28.8762033763866,28.8902578698964,32.3020785437939,37.6563307598082,38.8160659763397,33.6662298301438,35.5845239386244,35.2914822615074,
Barbados,BRB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,49.7125277514305,53.1102490548651,52.1340989352977,52.1156792995169,51.8421111606872,50.6549538658753,47.9509948297202,49.8078631881218,50.8759360327181,52.0135765985473,,,,,,58.1211683063787,57.7484299019104,62.9376106272656,69.9356430075004,70.5057160411668,62.8696183920448,71.0372539498999,80.4854766978859,77.1488095360526,78.7306051610635,75.9893555053428,87.0553329877697,91.0997876196857,93.2161814722477,89.085616098756,84.8821666638192,81.6201140155232,81.5709547429689,81.0114146368958,89.7454253523344,90.2870882587894,95.3715460226132,99.5379309038179,105.640902140819,110.939599584216,102.421000963035,89.8961882533585,87.319801332806,85.1768604269985,93.8980617666778,108.509658357959,110.291003658452,147.123112375318,146.973965879597,136.86343465048,132.58743952196,123.609124931602,
Bhutan,BTN,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,54.1148363500393,66.7818591429276,64.6804955653433,61.1156500852958,61.2472309571592,69.753674933224,73.7685764327379,64.2819609233681,80.4822195141748,68.8145422191638,61.2162874391515,75.9729858132023,91.7608375674865,78.7559933474217,72.1007793556435,83.8829086495551,84.629491433895,85.2114372285036,85.5831350923996,85.866205982457,74.0264971104432,71.0945747295588,70.2833172005966,72.8499006593611,89.0605518004294,97.7434135429344,108.157794891125,106.929022415,101.954235669521,101.559411565244,105.010666693593,102.795600221106,94.0450271469571,95.0525382780424,87.9342562013295,89.6391604595496,76.3847528498375,76.7884016850221,79.7397203296083,76.1235167041505,71.8303510394637,77.5824482709826,85.5712165226139,81.7366278539811,79.3625417953324,,
