country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FJI,Fiji,2,0.6263 (BLZ),0.6741 (MDA),0.7355 (BLZ),0.6985 (TON),0.5807 (STP),0.6420 (BLZ),0.6260 (MDA),0.6530 (MDA),0.6394 (MDA),0.6224 (BLZ),0.6552 (CPV),0.5134 (SWZ),0.6181 (BLZ),0.6005 (TON),0.6025 (BLZ)
FJI,Fiji,3,0.5764 (CPV),0.6450 (TON),0.6448 (MDA),0.6444 (MDA),0.5717 (MDA),0.5609 (CPV),0.5749 (CPV),0.5702 (CPV),0.5643 (CPV),0.5244 (MDA),0.5288 (MDV),0.5020 (TON),0.6074 (ARM),0.5841 (MUS),0.5579 (LSO)
FRA,France,1,0.9704 (GBR),0.9617 (GBR),0.9677 (GBR),0.9664 (GBR),0.9506 (GBR),0.9426 (GBR),0.9292 (GBR),0.9268 (ITA),0.9325 (ITA),0.9236 (GBR),0.9518 (GBR),0.9603 (GBR),0.9210 (GBR),0.9232 (ITA),0.9270 (GBR)
FRA,France,2,0.9493 (ITA),0.9451 (ITA),0.9369 (ITA),0.9320 (ITA),0.9251 (ITA),0.9237 (ITA),0.9047 (ITA),0.9268 (GBR),0.9272 (ESP),0.9197 (ESP),0.9065 (ITA),0.9083 (ESP),0.8892 (ITA),0.9093 (GBR),0.9232 (ITA)
FRA,France,3,0.9179 (ESP),0.9176 (ESP),0.9170 (SWE),0.9212 (SWE),0.9132 (SWE),0.8882 (ESP),0.8964 (ESP),0.9198 (ESP),0.9264 (GBR),0.9138 (ITA),0.9013 (ESP),0.8922 (ITA),0.8888 (ESP),0.9070 (ESP),0.9034 (ESP)
GAB,Gabon,1,0.9084 (COG),0.8889 (COG),0.5708 (MRT),0.7479 (COG),0.8104 (GNQ),0.8081 (COG),0.7347 (GNQ),0.7838 (COG),0.8260 (COG),0.7822 (COG),0.7660 (COG),0.8115 (COG),0.8197 (COG),0.8309 (COG),0.7513 (COG)
GAB,Gabon,2,0.7977 (LBY),0.8325 (GNQ),0.5238 (IRQ),0.6559 (GNQ),0.7888 (COG),0.7035 (GNQ),0.6732 (COG),0.7747 (GNQ),0.7675 (AGO),0.6672 (AGO),0.7371 (GNQ),0.7220 (AGO),0.7215 (GNQ),0.7116 (IRQ),0.6120 (GNQ)
GAB,Gabon,3,0.7682 (IRQ),0.7520 (IRQ),0.5112 (GNQ),0.6137 (IRQ),0.7037 (IRQ),0.6648 (AGO),0.5672 (MNG),0.6940 (AGO),0.7381 (GNQ),0.5845 (MRT),0.5768 (IRQ),0.7202 (GNQ),0.6659 (IRQ),0.6085 (LBY),0.5889 (LBY)
GBR,United Kingdom,1,0.9704 (FRA),0.9617 (FRA),0.9677 (FRA),0.9664 (FRA),0.9506 (FRA),0.9426 (FRA),0.9292 (FRA),0.9333 (DEU),0.9399 (DEU),0.9369 (DEU),0.9518 (FRA),0.9603 (FRA),0.9210 (FRA),0.9093 (FRA),0.9270 (FRA)
GBR,United Kingdom,2,0.9502 (CAN),0.9399 (CAN),0.9426 (CAN),0.9431 (DEU),0.9405 (DEU),0.9325 (DEU),0.9227 (DEU),0.9268 (FRA),0.9264 (FRA),0.9236 (FRA),0.9149 (DEU),0.9066 (DEU),0.9076 (DEU),0.9051 (DEU),0.9154 (DEU)
