country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
LVA,Latvia,3,2.7426 (BGR),2.1609 (EST),1.9493 (HUN),1.8145 (HRV),1.8818 (HUN),1.9365 (BGR),1.9548 (MNE),1.8612 (BGR),1.7523 (BGR),1.8443 (EST),1.5147 (HRV),1.5828 (HUN),1.6974 (SVK),1.7797 (FIN),1.8614 (LTU)
MAR,Morocco,1,2.4474 (SYR),3.1287 (SLV),2.3964 (TUN),2.1439 (TUN),1.8368 (TUN),2.0218 (TUN),1.8349 (TUN),2.3058 (ECU),2.2398 (HND),1.9927 (TUN),1.7378 (TUN),1.9033 (TUN),1.6713 (TUN),1.9405 (TUN),1.8535 (TUN)
MAR,Morocco,2,2.6085 (SLV),3.1805 (TUN),2.5384 (SLV),2.2256 (DZA),2.1540 (DZA),2.2074 (DZA),2.0846 (DZA),2.3514 (TUN),2.2860 (TUN),2.4167 (DZA),2.0688 (ECU),2.2232 (ECU),2.5069 (ECU),2.2523 (PRY),2.1742 (PRY)
MAR,Morocco,3,2.7282 (TUN),3.2643 (PRY),2.7364 (HND),2.5621 (SLV),2.2858 (SLV),2.2269 (COL),2.1672 (ECU),2.5863 (PRY),2.3429 (PRY),2.4649 (COL),2.1412 (DZA),2.4126 (COL),2.5726 (HND),2.2958 (HND),2.3976 (DZA)
MDA,Moldova,1,3.0699 (GEO),2.1724 (FJI),2.3330 (FJI),2.5360 (FJI),2.9671 (FJI),3.2734 (ROU),3.0155 (ROU),2.9360 (ROU),2.8360 (ROU),2.6646 (ROU),2.9528 (ROU),3.5235 (BGR),3.5984 (BGR),2.5321 (MUS),2.9380 (MUS)
MDA,Moldova,2,3.2621 (UKR),2.5769 (MUS),2.4862 (KGZ),2.5657 (KGZ),3.0334 (KGZ),3.2981 (FJI),3.0567 (FJI),3.0752 (FJI),3.1781 (FJI),2.9912 (BGR),3.2030 (SLV),3.5412 (SLV),3.6549 (ROU),3.3815 (BGR),3.3964 (BGR)
MDA,Moldova,3,3.4258 (FJI),2.6380 (KGZ),2.7282 (MUS),2.8480 (PRY),3.0920 (PRY),3.3054 (TON),3.2369 (TON),3.2866 (BGR),3.3399 (BGR),3.1840 (HRV),3.2631 (GEO),3.5537 (ROU),3.7192 (TON),3.4688 (SRB),3.4388 (ROU)
MDG,Madagascar,1,2.1840 (TZA),1.5991 (KEN),2.0759 (KEN),2.0012 (KEN),2.1029 (KEN),1.8443 (TGO),1.8477 (TGO),1.9224 (MWI),2.1816 (MWI),1.8395 (TGO),1.7222 (MWI),1.3517 (MWI),1.5213 (BFA),1.3749 (BFA),1.4149 (BFA)
MDG,Madagascar,2,2.3068 (MOZ),1.9099 (MWI),2.0938 (BEN),2.0851 (TGO),2.1300 (TGO),2.0420 (BEN),2.2125 (KEN),2.1382 (BFA),2.4648 (MOZ),1.8707 (MWI),2.0809 (MOZ),1.8136 (TGO),1.9122 (MWI),1.8080 (MOZ),1.8650 (UGA)
MDG,Madagascar,3,2.3904 (SEN),1.9256 (BEN),2.1476 (TGO),2.2514 (BEN),2.2737 (TZA),2.1336 (KEN),2.2706 (BFA),2.3161 (MOZ),2.5011 (TGO),2.1205 (BFA),2.2767 (BFA),1.9719 (MOZ),1.9384 (MOZ),1.8115 (MWI),1.8882 (TGO)
